Key	PublTitle	Year	Title	Volumne	Number	DOI	Authors
"journals/tvcg/RusdorfBLW07"	"Real-Time Interaction with a Humanoid Avatar in an Immersive Table Tennis Simulation."	"2007"	"IEEE Trans. Vis. Comput. Graph."	"13"	"1"	"https://doi.org/10.1109/TVCG.2007.18"	"Stephan Rusdorf;Guido Brunnett;Mario Lorenz 0003;Tobias Winkler"
"journals/tvcg/Rushmeier99"	"Guest Editor's Introduction: Special Section on Visualization."	"1999"	"IEEE Trans. Vis. Comput. Graph."	"5"	"2"	"https://doi.org/10.1109/TVCG.1999.773802"	"Holly E. Rushmeier"
"journals/tvcg/RushmeierWT05"	"Guest Editors' Introduction: Special Section on IEEE Visualization."	"2005"	"IEEE Trans. Vis. Comput. Graph."	"11"	"4"	"https://doi.org/10.1109/TVCG.2005.60"	"Holly E. Rushmeier;Jarke J. van Wijk;Greg Turk"
"journals/tvcg/RussigGDG23"	"On-Tube Attribute Visualization for Multivariate Trajectory Data."	"2023"	"IEEE Trans. Vis. Comput. Graph."	"29"	"1"	"https://doi.org/10.1109/TVCG.2022.3209400"	"Benjamin Russig;David Groß;Raimund Dachselt;Stefan Gumhold"
"journals/tvcg/RuttenC06"	"Analyzing Vortex Breakdown Flow Structures by Assignment of Colors to Tensor Invariants."	"2006"	"IEEE Trans. Vis. Comput. Graph."	"12"	"5"	"https://doi.org/10.1109/TVCG.2006.119"	"Markus Rütten;Min S. Chong"
"journals/tvcg/RyanMCW19"	"At a Glance: Pixel Approximate Entropy as a Measure of Line Chart Complexity."	"2019"	"IEEE Trans. Vis. Comput. Graph."	"25"	"1"	"https://doi.org/10.1109/TVCG.2018.2865264"	"Gabriel Ryan;Abigail Mosca;Remco Chang;Eugene Wu 0002"
"journals/tvcg/RydowBFTSPTC23"	"Development and Evaluation of Two Approaches of Visual Sensitivity Analysis to Support Epidemiological Modeling."	"2023"	"IEEE Trans. Vis. Comput. Graph."	"29"	"1"	"https://doi.org/10.1109/TVCG.2022.3209464"	"Erik Rydow;Rita Borgo;Hui Fang 0003;Thomas Torsney-Weir;Ben Swallow;Thibaud Porphyre;Cagatay Turkay;Min Chen 0001"
"journals/tvcg/SaadHM10"	"Exploration and Visualization of Segmentation Uncertainty using Shape and Appearance Prior Information."	"2010"	"IEEE Trans. Vis. Comput. Graph."	"16"	"6"	"https://doi.org/10.1109/TVCG.2010.152"	"Ahmed Saad;Ghassan Hamarneh;Torsten Möller"
"journals/tvcg/SabandoUSBMPSGK21"	"ChemVA: Interactive Visual Analysis of Chemical Compound Similarity in Virtual Screening."	"2021"	"IEEE Trans. Vis. Comput. Graph."	"27"	"2"	"https://doi.org/10.1109/TVCG.2020.3030438"	"María Virginia Sabando;Pavol Ulbrich;Matias Nicolás Selzer;Jan Byska;Jan Mican;Ignacio Ponzoni;Axel J. Soto;Maria Luján Ganuza;Barbora Kozlíková"
"journals/tvcg/SachaKBBSAK18"	"SOMFlow: Guided Exploratory Cluster Analysis with Self-Organizing Maps and Analytic Provenance."	"2018"	"IEEE Trans. Vis. Comput. Graph."	"24"	"1"	"https://doi.org/10.1109/TVCG.2017.2744805"	"Dominik Sacha;Matthias Kraus;Jürgen Bernard;Michael Behrisch 0001;Tobias Schreck;Yuki Asano;Daniel A. Keim"
