doi,title
10.1109/tvcg.2021.3052167,Shape-Driven Coordinate Ordering for Star Glyph Sets via Reinforcement Learning
10.1109/tvcg.2021.3060500,A Progressive Approach to Scalar Field Topology
10.1109/tvcg.2021.3055242,Digital Surface Regularization With Guarantees
10.1109/tvcg.2020.3003823,PRS-Net: Planar Reflective Symmetry Detection Net for 3D Models
10.1109/tvcg.2021.3057483,Net2Vis – A Visual Grammar for Automatically Generating Publication-Tailored CNN Architecture Visualizations
10.1109/tvcg.2021.3056424,Integrated Dual Analysis of Quantitative and Qualitative High-Dimensional Data
10.1109/tvcg.2020.3045490,Mesh Denoising With Facet Graph Convolutions
10.1109/tvcg.2020.3043487,Imma Sort by Two or More Attributes With Interpretable Monotonic Multi-Attribute Sorting
10.1109/tvcg.2021.3051013,Impact of Cognitive Biases on Progressive Visualization
10.1109/tvcg.2020.3041745,Task-Based Effectiveness of Interactive Contiguous Area Cartograms
10.1109/tvcg.2020.3036153,Visual Quality of 3D Meshes With Diffuse Colors in Virtual Reality: Subjective and Objective Evaluation
10.1109/tvcg.2020.3032440,An Evaluation Testbed for Locomotion in Virtual Reality
10.1109/tvcg.2020.3012120,Synthesizing Camera Noise Using Generative Adversarial Networks
10.1109/tvcg.2020.3027069,Pointfilter: Point Cloud Filtering via Encoder-Decoder Modeling
10.1109/tvcg.2020.3011155,Visual Analysis of Class Separations With Locally Linear Segments
10.1109/tvcg.2020.3016327,Confidence-Controlled Local Isosurfacing
10.1109/tvcg.2020.3010736,Scalable Mesh Refinement for Canonical Polygonal Schemas of Extremely High Genus Shapes
10.1109/tvcg.2020.3004245,Implicit Frictional Boundary Handling for SPH
10.1109/tvcg.2020.2966702,Fast Quasi-Conformal Regional Flattening of the Left Atrium
10.1109/tvcg.2020.2990315,Surfel-Based Incremental Reconstruction of the Boundary Between Known and Unknown Space
10.1109/tvcg.2020.2988476,Disentangled Human Body Embedding Based on Deep Hierarchical Neural Network
10.1109/tvcg.2020.2986996,t-viSNE: Interactive Assessment and Interpretation of t-SNE Projections
10.1109/tvcg.2019.2945961,Half-Space Power Diagrams and Discrete Surface Offsets
10.1109/tvcg.2019.2934256,Progressive Wasserstein Barycenters of Persistence Diagrams
10.1109/tvcg.2019.2892483,Exploring the Sensitivity of Choropleths under Attribute Uncertainty
10.1109/tvcg.2018.2864432,Persistence Atlas for Critical Point Variability in Ensembles
10.1109/tvcg.2018.2828818,Robust and High Fidelity Mesh Denoising
10.1109/tvcg.2024.3355884,"The Impact of Elicitation and Contrasting Narratives on Engagement, Recall and Attitude Change With News Articles Containing Data Visualization"
10.1109/tvcg.2023.3345532,VIPurPCA: Visualizing and Propagating Uncertainty in Principal Component Analysis
10.1109/tvcg.2023.3337173,Visual Exploratory Analysis for Designing Large-Scale Network-on-Chip Architectures: A Domain Expert-Led Design Study
10.1109/tvcg.2023.3326517,MeTACAST: Target- and Context-aware Spatial Selection in VR
10.1109/tvcg.2023.3338451,The Role of Text in Visualizations: How Annotations Shape Perceptions of Bias and Influence Predictions
10.1109/tvcg.2024.3366343,Intrinsic Omnidirectional Image Decomposition With Illumination Pre-Extraction
10.1109/tvcg.2023.3334755,Wasserstein Auto-Encoders of Merge Trees (and Persistence Diagrams)
10.1109/tvcg.2024.3355200,FROST-BRDF: A Fast and Robust Optimal Sampling Technique for BRDF Acquisition
10.1109/tvcg.2023.3326908,OldVisOnline: Curating a Dataset of Historical Visualizations
10.1109/tvcg.2024.3364841,Accelerating Hyperbolic t-SNE
10.1109/tvcg.2024.3388521,Enhancing Single-Frame Supervision for Better Temporal Action Localization
10.1109/tvcg.2024.3405369,A Phenomenological Approach to Interactive Knot Diagrams
10.1109/tvcg.2024.3390219,TTK is Getting MPI-Ready
10.1109/tvcg.2023.3237768,Continuous Scatterplot Operators for Bivariate Analysis and Study of Electronic Transitions
10.1109/tvcg.2024.3385637,Stress Assessment for Augmented Reality Applications Based on Head Movement Features
10.1109/tvcg.2024.3388516,A Survey of Designs for Combined 2D+3D Visual Representations
10.1109/tvcg.2024.3393236,Speech-driven Personalized Gesture Synthetics: Harnessing Automatic Fuzzy Feature Inference
10.1109/tvcg.2024.3418653,MOUNTAINEER: Topology-Driven Visual Analytics for Comparing Local Explanations
