Year,Conference,DOI,Award
2014,SciVis,10.1109/TVCG.2014.2346446,HM
2014,InfoVis,10.1109/TVCG.2014.2346441,BP
2014,InfoVis,10.1109/TVCG.2014.2346325,HM
2014,VAST,10.1109/TVCG.2014.2346573,BP
2014,InfoVis,10.1109/TVCG.2014.2346260,HM
2014,InfoVis,10.1109/TVCG.2014.2346312,HM
2014,VAST,10.1109/TVCG.2014.2346912,HM
2014,SciVis,10.1109/TVCG.2014.2346411,BP
2014,SciVis,10.1109/TVCG.2014.2346412,HM
2013,InfoVis,10.1109/TVCG.2013.124,TT
2013,VAST,10.1109/TVCG.2013.226,TT
2013,InfoVis,10.1109/TVCG.2013.173,BP
2013,InfoVis,10.1109/TVCG.2013.179,HM
2013,VAST,10.1109/TVCG.2013.200,HM
2013,InfoVis,10.1109/TVCG.2013.192,HM
2013,VAST,10.1109/TVCG.2013.125,BP
2013,VAST,10.1109/TVCG.2013.157,HM
2013,SciVis,10.1109/TVCG.2013.141,BP
2013,SciVis,10.1109/TVCG.2013.147,HM
2013,SciVis,10.1109/TVCG.2013.129,HM
2013,SciVis,10.1109/TVCG.2013.128,HM
2012,InfoVis,10.1109/TVCG.2012.213,HM
2012,VAST,10.1109/TVCG.2012.219,HM
2012,InfoVis,10.1109/TVCG.2012.279,HM
2012,VAST,10.1109/TVCG.2012.276,BP
2012,InfoVis,10.1109/TVCG.2012.199,HM
2012,InfoVis,10.1109/TVCG.2012.233,BP
2012,SciVis,10.1109/TVCG.2012.240,HM
2012,SciVis,10.1109/TVCG.2012.217,HM
2012,SciVis,10.1109/TVCG.2012.231,BP
2012,VAST,10.1109/TVCG.2012.254,HM
2011,InfoVis,10.1109/TVCG.2011.185,TT
2011,VAST,10.1109/VAST.2011.6102456,TT
2011,InfoVis,10.1109/TVCG.2011.175,HM
2011,VAST,10.1109/VAST.2011.6102454,BP
2011,InfoVis,10.1109/TVCG.2011.183,BP
2011,Vis,10.1109/TVCG.2011.259,HM
2011,VAST,10.1109/VAST.2011.6102445,HM
2011,Vis,10.1109/TVCG.2011.231,HM
