"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"","https://ieeexplore.ieee.org/document/963282/","LOCKED","963282","AT&T Labs-Research","https://ieeexplore.ieee.org/author/37662339600","1","J. Abello","37662339600","https://ieeexplore.ieee.org/author/37283676000","2","I. Finocchi","37283676000","https://ieeexplore.ieee.org/author/38179814200","3","J. Korn","38179814200","","","","","","","","","","","","","8","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963282","70","https://ieeexplore.ieee.org/document/963282/","Navigation","Data visualization","Large screen displays","Laboratories","Computer science","Computer displays","Filters","Geographic Information Systems","Telecommunication traffic","Internet","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963282","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","11","67","Graph sketches"
"","https://ieeexplore.ieee.org/document/963292/","LOCKED","963292","SAS Institute Inc.","https://ieeexplore.ieee.org/author/37733138800","1","T. Barlow","37733138800","https://ieeexplore.ieee.org/author/37726433800","2","P. Neville","37726433800","","","","","","","","","","","","","","","","","8","1","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963292","152","https://ieeexplore.ieee.org/document/963292/","Computer aided software engineering","Data visualization","Decision trees","Data analysis","Data mining","Predictive models","Synthetic aperture sonar","Read only memory","Industrial relations","Topology","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963292","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","12","149","Case study: visualization for decision tree analysis in data mining"
"","https://ieeexplore.ieee.org/document/963275/","LOCKED","963275","Sandia National Laboratories","https://ieeexplore.ieee.org/author/37360407600","1","G.S. Davidson","37360407600","https://ieeexplore.ieee.org/author/38180014300","2","B.N. Wylie","38180014300","https://ieeexplore.ieee.org/author/37740703900","3","K.W. Boyack","37740703900","","","","","","","","","","","","","16","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963275","30","https://ieeexplore.ieee.org/document/963275/","Testing","Laboratories","Clustering algorithms","Databases","Data visualization","Algorithm design and analysis","Stability analysis","Fungi","Best practices","Stochastic processes","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963275","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","13","23","Cluster stability and the use of noise in interpretation of clustering"
"","https://ieeexplore.ieee.org/document/963281/","LOCKED","963281","Eindhoven University of Technology","https://ieeexplore.ieee.org/author/37326291000","1","F. van Ham","37326291000","https://ieeexplore.ieee.org/author/37294473300","2","H. van de Wetering","37294473300","https://ieeexplore.ieee.org/author/37267249200","3","J.J. van Wijk","37267249200","","","","","","","","","","","","","12","2","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963281","66","https://ieeexplore.ieee.org/document/963281/","Visualization","Automata","Application software","Computer science","Mathematics","Tree data structures","Read only memory","Tree graphs","Biology","Biological system modeling","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963281","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","14","59","Visualization of state transition graphs"
"","https://ieeexplore.ieee.org/document/963279/","LOCKED","963279","University of California","https://ieeexplore.ieee.org/author/37062167300","1","Ka-Ping Yee","37062167300","https://ieeexplore.ieee.org/author/37542391000","2","D. Fisher","37542391000","https://ieeexplore.ieee.org/author/37689382800","3","R. Dhamija","37689382800","https://ieeexplore.ieee.org/author/38181244800","4","M. Hearst","38181244800","","","","","","","","","25","4","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963279","50","https://ieeexplore.ieee.org/document/963279/","Animation","Visualization","Tree graphs","Displays","Identity-based encryption","Testing","Social network services","Communication networks","Network topology","Tree data structures","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963279","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","15","43","Animated exploration of dynamic graphs with radial layout"
"","https://ieeexplore.ieee.org/document/963287/","LOCKED","963287","Battelle Pacific Northwest Division","https://ieeexplore.ieee.org/author/37282588900","1","S. Havre","37282588900","https://ieeexplore.ieee.org/author/37266114100","2","E. Hetzler","37266114100","https://ieeexplore.ieee.org/author/37550754400","3","K. Perrine","37550754400","https://ieeexplore.ieee.org/author/37725413900","4","E. Jurrus","37725413900","https://ieeexplore.ieee.org/author/37728774800","5","N. Miller","37728774800","","","","","31","7","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963287","112","https://ieeexplore.ieee.org/document/963287/","Visualization","","","","","","","","","","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963287","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","16","105","Interactive visualization of multiple query results"
"Since the introduction of graphical user interfaces (GUI) and two-dimensional (2D) displays, the concept of space has entered the information technology (IT) domain. Interactions with computers were re-encoded in terms of fidelity to the interactions with real environment and consequently in terms of fitness to cognitive and spatial abilities. A further step in this direction was the creation of three-dimensional (3D) displays which have amplified the fidelity of digital representations. However, there are no systematic results evaluating the extent to which 3D displays better support cognitive spatial abilities. The aim of this research is to empirically investigate spatial memory performance across different instances of 2D and 3D displays. Two experiments were performed. The displays used in the experimental situation represented hierarchical information structures. The results of the test show that the 3D display does improve performances in the designed spatial memory task.","https://ieeexplore.ieee.org/document/963291/","LOCKED","963291","University Sweden","https://ieeexplore.ieee.org/author/37725243100","1","M. Tavanti","37725243100","https://ieeexplore.ieee.org/author/37561614400","2","M. Lind","37561614400","","","","","","","","","","","","","","","","","47","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963291","145","https://ieeexplore.ieee.org/document/963291/","Three dimensional displays","Graphical user interfaces","Two dimensional displays","Information science","Computer displays","Space technology","Information technology","Testing","Performance evaluation","Production","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963291","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","17","139","2D vs 3D, implications on spatial memory"
"An empirical comparison of three commercial information visualization systems on three different databases is presented. The systems use different paradigms for visualizing data. Tasks were selected to be ""ecologically relevant"", i.e. meaningful and interesting in the respec- tive domains. Users of one system turned out to solve problems significantly faster than users of the other two, while users of another system would supply significantly more correct answers. Reasons for these results and general observations about the studied systems are discussed.","https://ieeexplore.ieee.org/document/963289/","LOCKED","963289","University of California","https://ieeexplore.ieee.org/author/37326091300","1","A. Kobsa","37326091300","","","","","","","","","","","","","","","","","","","","","37","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963289","130","https://ieeexplore.ieee.org/document/963289/","Visualization","Scattering","Multidimensional systems","Visual databases","Bars","Monitoring","Information analysis","Design engineering","","","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963289","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","18","123","An empirical comparison of three commercial information visualization systems"
"","https://ieeexplore.ieee.org/document/963274/","LOCKED","963274","Pacific Northwest National Laboratory","https://ieeexplore.ieee.org/author/37725426400","1","L. Nowell","37725426400","https://ieeexplore.ieee.org/author/37266114100","2","E. Hetzler","37266114100","https://ieeexplore.ieee.org/author/37725416400","3","T. Tanasse","37725416400","","","","","","","","","","","","","35","1","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963274","22","https://ieeexplore.ieee.org/document/963274/","Blindness","Computer aided software engineering","Layout","Displays","Information analysis","Laboratories","Data visualization","Contracts","Cognitive science","Context","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963274","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","19","15","Change blindness in information visualization: a case study"
"","https://ieeexplore.ieee.org/document/963280/","LOCKED","963280","The University of Texas","https://ieeexplore.ieee.org/author/37284840800","1","J.M. Six","37284840800","https://ieeexplore.ieee.org/author/37356017600","2","I.G. Tollis","37356017600","","","","","","","","","","","","","","","","","2","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963280","58","https://ieeexplore.ieee.org/document/963280/","Visualization","Measurement standards","Application software","Polynomials","Tree graphs","","","","","","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963280","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","20","51","Effective graph visualization via node grouping"
"","https://ieeexplore.ieee.org/document/963284/","LOCKED","963284","Dresden University of Technology","https://ieeexplore.ieee.org/author/37313321900","1","R. Dachselt","37313321900","https://ieeexplore.ieee.org/author/37738189700","2","J. Ebert","37738189700","","","","","","","","","","","","","","","","","10","5","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963284","86","https://ieeexplore.ieee.org/document/963284/","Navigation","Web pages","Tree graphs","Internet","Space technology","Web sites","Data visualization","Birth disorders","XML","Books","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963284","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","21","79","Collapsible cylindrical trees: a fast hierarchical navigation technique"
"","https://ieeexplore.ieee.org/document/963286/","LOCKED","963286","Vienna University of Technology","https://ieeexplore.ieee.org/author/37282563400","1","R. Kosara","37282563400","https://ieeexplore.ieee.org/author/37282584500","2","S. Miksch","37282584500","https://ieeexplore.ieee.org/author/37274158800","3","H. Hauser","37274158800","","","","","","","","","","","","","37","9","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963286","104","https://ieeexplore.ieee.org/document/963286/","Displays","Data visualization","Navigation","Lenses","Geographic Information Systems","Photography","Cinematography","Layout","Reactive power","Prototypes","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963286","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","22","97","Semantic depth of field"
"","https://ieeexplore.ieee.org/document/963290/","LOCKED","963290","SAS Institute Inc.","https://ieeexplore.ieee.org/author/37733138800","1","T. Barlow","37733138800","https://ieeexplore.ieee.org/author/37726433800","2","P. Neville","37726433800","","","","","","","","","","","","","","","","","45","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963290","138","https://ieeexplore.ieee.org/document/963290/","Decision trees","Tree graphs","Data mining","Data visualization","Organization Charts","Data analysis","Computer displays","Topology","Synthetic aperture sonar","Application software","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963290","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","23","131","A comparison of 2-D visualizations of hierarchies"
"","https://ieeexplore.ieee.org/document/963288/","LOCKED","963288","Hewlett Packard Research Laboratories","https://ieeexplore.ieee.org/author/37283138700","1","D. Keim","37283138700","https://ieeexplore.ieee.org/author/37274264300","2","M.C. Hao","37274264300","https://ieeexplore.ieee.org/author/37725326000","3","J. Ladisch","37725326000","https://ieeexplore.ieee.org/author/37275459900","4","Meichun Hsu","37275459900","https://ieeexplore.ieee.org/author/37275646700","5","U. Dayal","37275646700","","","","","19","2","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963288","120","https://ieeexplore.ieee.org/document/963288/","Data visualization","Graphics","Data mining","Laboratories","Aggregates","Application software","Telephony","Business","Data analysis","Bars","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963288","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","24","113","Pixel bar charts: a new technique for visualizing large multi-attribute data sets without aggregation"
"Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","","EPHEMERA","963271","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963271","vii","","","","","","","","","","","","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963271","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","25","1","IEEE Symposium on Information Visualization 2001 [front matter]"
"The author index contains an entry for each author and coauthor included in the proceedings record.","","EPHEMERA","963297","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963297","171","","","","","","","","","","","","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963297","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","26","171","Author index"
