vispub_doi,vispub_title,aminer_id,aminer_title,score
10.1109/visual.2001.964504,Connectivity shapes,573696306e3b12023e53e8ab,connectivity spaces.,89
10.1109/tvcg.2022.3209437,Constrained Dynamic Mode Decomposition,5d0b00818607575390fcb8cd,consistent dynamic mode decomposition.,88
10.1109/visual.2000.885685,Automatic alignment of high-resolution multi-projector displays using an uncalibrated camera,53e9a22cb7602d9702b33834,automatic alignment of high-resolution multi-projector display using an un-calibrated camera,88
10.1109/visual.1999.809913,Digital design of a surgical simulator for interventional MR imaging,53e99d8eb7602d970264888d,digital design of a surgical simulator for interventional magnetic resonance imaging,88
10.1109/visual.1994.346301,Tokamak plasma turbulence visualization,53e9a14cb7602d9702a3d662,case study: tokamak plasma turbulence visualization,88
10.1109/visual.1992.235192,"Visualization of high resolution, three-dimensional, nonlinear finite element analyses",53e9b07db7602d9703ae4ad5,"visualization of high-resolution, 3-d, nonlinear, finite element analyses",88
10.1109/visual.1990.146370,Techniques for visualizing Fermat's last theorem: a case study,53e9b221b7602d9703cb9aa3,techniques for visualizing fermat's last theorem,88
10.1109/visual.2002.1183759,Out-of-core rendering of massive geometric environments,53e9ae2eb7602d970383fda7,out-of-core rendering of massive geometric datasets,87
10.1109/visual.1994.346290,Visualization of volcanic ash clouds,53e99dbfb7602d970267d1fb,case study: visualization of volcanic ash clouds,87
10.1109/visual.1993.398894,"Unsteady phenomena, hypersonic flows and co-operative flow visualization in aerospace research",53e99bb1b7602d970245a2b3,"unsteady phenomena, hypersonic flows and co-operative flow visualization",87
10.1109/visual.1992.235174,Case study: visualizing classical problems in CFD,53e9b408b7602d9703efa9df,visualizing classical problems in cfd,87
10.1109/visual.1994.346291,Volume rendering of pool fire data,53e9ab20b7602d97034ab8e7,case study: volume rendering of pool fire data,86
10.1109/visual.1992.235188,Visualizing n-dimensional implications of two-dimensional design decisions,53e9a291b7602d9702b97808,visualizing n-dimensional implications of 2-d design decisions,85
10.1109/visual.1992.235179,Visualization in anthropology: reconstruction of human fossils from multiple pieces,53e9b829b7602d97043e3e2f,visualization in anthropology: reconstruction of human fossils,85
10.1109/visual.1991.175834,"Distributed visualization using workstations, supercomputers, and high speed networks",53e9b692b7602d97042017ab,"distributed visualization using workstations, superjacques lévy-vehelcomputers and high speed networks",85
