vispub_doi,vispub_title,aminer_id,aminer_title,score
10.1109/mcg.2025.3609294,Toward Softerware: Enabling Personalization of Interactive Data Representations for Users With Disabilities,67be84b2163c01c8500581b4,towards softerware: enabling personalization of interactive data representations for users with disabilities,100
10.1109/tvcg.2025.3621079,Make the Fastest Faster: Importance Mask Synthesis for Interactive Volume Visualization Using Reconstruction Neural Networks,67aac600ae8580e7ff37041a,make the fastest faster: importance mask for interactive volume visualization using reconstruction neural networks,96
10.1109/tvcg.2025.3600957,"A Survey on Annotations in Information Visualization: Empirical Studies, Applications and Challenges",67073d4101d2a3fbfc520469,"a survey on annotations in information visualization: empirical insights, applications, and challenges",93
10.1109/tvcg.2025.3546644,AttributionScanner: A Visual Analytics System for Model Validation With Metadata-Free Slice Finding,65bc9f65939a5f408227c919,attributionscanner: a visual analytics system for metadata-free data-slicing based model validation,88
