vispub_doi,aminer_id,method
10.1109/tvcg.2022.3209351,62ea18d35aee126c0fca12b3,doi
10.1109/visual.1998.745329,539087eb20f70186a0d6c0f0,doi
10.1109/visual.2000.885708,5390881220f70186a0d7e18b,doi
10.1109/visual.1990.146398,5390958a20f70186a0def68f,doi
10.1109/tvcg.2011.245,5390b20120f70186a0ee5071,doi
10.1109/visual.1992.235189,53e9a906b7602d9703258626,doi
10.1109/scivis.2015.7429491,573698876e3b12023e746181,doi
10.1109/vast.2007.4389030,5390a45620f70186a0e733f4,doi
10.1109/tvcg.2013.207,5390be6620f70186a0f4bb9f,doi
10.1109/infvis.2001.963280,53e99d58b7602d9702613f40,doi
10.1109/vast.2015.7347635,573697316e3b12023e6214e9,doi
10.1109/visual.1992.235213,5390958a20f70186a0def6f4,doi
10.1109/tvcg.2023.3326925,64dafb293fda6d7f064e2afc,doi
10.1109/visual.1995.480810,53908bcc20f70186a0dc6cef,doi
10.1109/tvcg.2024.3456394,66b429da01d2a3fbfc92ae62,doi
10.1109/visual.1994.346287,5390958a20f70186a0defac0,doi
10.1109/tvcg.2010.145,5390ada620f70186a0ec2490,doi
10.1109/tvcg.2020.3030345,5fd344ded4150a363cb2550e,doi
10.1109/tvcg.2022.3209369,62f1d08b90e50fcafd88e955,doi
10.1109/tvcg.2024.3456304,66a8495f01d2a3fbfc0804bf,doi
10.1109/tvcg.2024.3456328,66e0d5ac01d2a3fbfc92aa8b,doi
10.1109/vast.2015.7347674,573697316e3b12023e62163a,doi
10.1109/tvcg.2018.2865118,5c0f890cda562944ac9859e5,doi
10.1109/visual.2001.964551,539089ab20f70186a0d96ac4,doi
10.1109/visual.2004.26,5390979920f70186a0e0058b,doi
10.1109/tvcg.2010.130,5390ada620f70186a0ec24b5,doi
10.1109/scivis.2015.7429485,573698876e3b12023e74618d,doi
10.1109/tvcg.2016.2598445,58437713ac44360f1082cbfa,doi
10.1109/tvcg.2018.2865023,5c0f890cda562944ac9859d7,doi
10.1109/tvcg.2008.144,5390a28020f70186a0e62bbd,doi
10.1109/tvcg.2010.198,5390ada620f70186a0ec24cb,doi
10.1109/vast.2015.7347683,5666e5ff0cf21b6358414eea,doi
10.1109/tvcg.2021.3114805,610cad6e5244ab9dcb1b41b6,doi
10.1109/tvcg.2018.2865194,5c0f890cda562944ac9859f3,doi
10.1109/tvcg.2013.152,5390be6620f70186a0f4bbf5,doi
10.1109/tvcg.2014.2346433,55503f9045ce0a409eb2ebf8,doi
10.1109/visual.1996.568135,539087dd20f70186a0d62a67,doi
10.1109/infvis.2005.1532136,5390990f20f70186a0e10035,doi
10.1109/tvcg.2014.2346416,55503f9145ce0a409eb2ecba,doi
10.1109/tvcg.2014.2346448,557c816b6feeaa8086da0298,doi
10.1109/tvcg.2017.2744298,59ae0cda0cf284510fa8b421,doi
10.1109/tvcg.2018.2864911,5c0f890cda562944ac9859d0,doi
10.1109/visual.1991.175809,5390958a20f70186a0def6c4,doi
10.1109/visual.2003.1250382,539098b820f70186a0e0a6da,title
10.1109/tvcg.2009.116,5390a6d920f70186a0e87d9f,doi
10.1109/visual.2002.1183757,53e997ddb7602d9701fd489c,doi
10.1109/vast.2011.6102449,53e9be04b7602d9704abae66,doi
10.1109/tvcg.2020.3030426,5f8821259fced0a24b0d9945,doi
10.1109/visual.2003.1250363,539098b820f70186a0e0a6c7,doi
10.1109/visual.1992.235193,53e9b451b7602d9703f4b137,doi
10.1109/tvcg.2014.2346411,557c4f55f66765fbb46ae8c0,doi
10.1109/tvcg.2023.3326527,64ed716d3fda6d7f0658aa2b,doi
10.1109/tvcg.2023.3326525,653b50f3939a5f4082347494,doi
10.1109/visual.2004.81,5390979920f70186a0e00559,doi
10.1109/tvcg.2020.3030380,5f56011191e011c84a47598a,doi
10.1109/tvcg.2013.160,5390be6620f70186a0f4bbdc,doi
10.1109/vast.2011.6102490,53e9afc0b7602d9703a0f6f8,doi
10.1109/tvcg.2019.2934614,5d4bf3df3a55ac7c4c73bc86,doi
10.1109/visual.2000.885736,5390881220f70186a0d7e1ba,doi
10.1109/visual.2002.1183775,539089ab20f70186a0d96b41,doi
10.1109/tvcg.2018.2865041,5c0f890cda562944ac9859df,doi
10.1109/visual.1992.235230,5390958a20f70186a0def6e3,doi
10.1109/infvis.2005.1532148,5390990f20f70186a0e10040,doi
10.1109/vast.2009.5333099,53e99d05b7602d97025bc795,doi
10.1109/tvcg.2018.2864853,5c0f890cda562944ac9859c5,doi
10.1109/tvcg.2023.3327195,653ca290939a5f4082909a79,doi
10.1109/vast.2008.4677366,5390a5dc20f70186a0e7eb95,doi
10.1109/visual.1998.745324,539087eb20f70186a0d6c0e6,doi
10.1109/tvcg.2020.3028975,5f86d2089fced0a24b45ff17,doi
10.1109/vast.2011.6102454,558b3042e4b031bae1fbfee0,doi
10.1109/tvcg.2019.2934300,5d63ae47ed7e9c7926557d9d,doi
10.1109/visual.1999.809887,539087f820f70186a0d72a3f,doi
10.1109/tvcg.2018.2865138,5c0f890cda562944ac9859e7,doi
10.1109/tvcg.2019.2934783,5d63ae47ed7e9c7926557dc2,doi
10.1109/tvcg.2022.3209419,62f1d07190e50fcafd889e8d,doi
10.1109/visual.1994.346328,53908d6520f70186a0dd102c,doi
10.1109/vast.2009.5333880,53e9aa5cb7602d97033c967d,doi
10.1109/vast.2014.7042489,5550451845ce0a409eb5398f,doi
10.1109/tvcg.2019.2934267,5d7cbcc447c8f76646dc3201,doi
10.1109/tvcg.2006.140,53909a9320f70186a0e21abc,doi
10.1109/visual.1997.663925,539087e620f70186a0d675a4,doi
10.1109/tvcg.2024.3456405,66b96bb301d2a3fbfcb647e7,doi
10.1109/tvcg.2007.70556,53909f8c20f70186a0e3f78d,doi
10.1109/tvcg.2012.192,53e99a43b7602d97022a4bb8,doi
10.1109/tvcg.2015.2467831,563b69d10cf20b987890bc9e,doi
10.1109/tvcg.2015.2467871,563b69d20cf20b987890bcb6,doi
10.1109/tvcg.2017.2744318,59ae0cda0cf284510fa8b41f,doi
10.1109/tvcg.2020.3030408,5f3bb77b91e0110589e89c2c,doi
10.1109/tvcg.2015.2469125,5687debc0cf2afdcd165faae,doi
10.1109/vast.2015.7347678,573697316e3b12023e6215f5,doi
10.1109/tvcg.2018.2864850,5c0f8dc4da562944aca23b59,doi
10.1109/infvis.2004.21,5390979920f70186a0e010ca,doi
10.1109/tvcg.2007.70587,53e9b65bb7602d97041be108,doi
10.1109/tvcg.2020.3030462,5f574a7791e011f4c3d5d9e5,doi
10.1109/tvcg.2022.3209400,6336c8c090e50fcafd18f68b,doi
10.1109/visual.1997.663871,539087e620f70186a0d67553,doi
10.1109/visual.1997.663929,539087e620f70186a0d675a8,doi
10.1109/visual.2000.885720,539096cb20f70186a0df6efe,title
10.1109/visual.2004.96,5390979920f70186a0e00562,doi
10.1109/infvis.2005.1532127,5390990f20f70186a0e1002c,doi
10.1109/vast.2006.261418,53e9a3b3b7602d9702cc37ad,doi
10.1109/tvcg.2015.2467325,5687e05e0cf2afdcd165fbb4,doi
10.1109/tvcg.2021.3114814,613829e55244ab9dcb15ecaf,doi
10.1109/infvis.1995.528686,539087f320f70186a0d6ec0b,doi
10.1109/visual.1994.346292,5390958a20f70186a0defaba,doi
10.1109/tvcg.2007.70542,53909f8c20f70186a0e3f7af,doi
10.1109/tvcg.2018.2865193,5c0f890cda562944ac9859f2,doi
