doi,author,gender,position,position.rank
10.1109/INFVIS.1996.559226,Eric Hoffman,male,2,M
10.1109/INFVIS.1996.559226,Kimberly C. Claffy,female,3,M
10.1109/INFVIS.1996.559226,Bill Fenner,male,4,L
10.1109/INFVIS.1996.559227,Mark Gray,male,1,F
10.1109/INFVIS.1996.559227,Albert N. Badre,male,2,M
10.1109/INFVIS.1996.559227,Mark Guzdial,male,3,L
10.1109/INFVIS.1996.559228,David A. Rushall,male,1,F
10.1109/INFVIS.1996.559228,Marc R. Ilgen,male,2,L
10.1109/INFVIS.1996.559229,Liqun Jin,male,1,F
10.1109/INFVIS.1996.559229,David C. Banks,male,2,L
10.1109/INFVIS.1997.636718,Tamara Munzner,female,1,F
10.1109/INFVIS.1997.636759,Markus H. Gross,male,1,F
10.1109/INFVIS.1997.636759,Thomas C. Sprenger,male,2,M
10.1109/INFVIS.1997.636759,J. Finger,male,3,L
10.1109/INFVIS.1997.636761,Ed H. Chi,male,1,F
10.1109/INFVIS.1997.636761,Phillip Barry,male,2,M
10.1109/INFVIS.1997.636761,John Riedl,male,3,M
10.1109/INFVIS.1997.636761,Joseph A. Konstan,male,4,L
10.1109/INFVIS.1997.636778,Teruhiko Teraoka,male,1,F
10.1109/INFVIS.1997.636778,Minoru Maruyama,male,2,L
10.1109/INFVIS.1997.636782,Mei C. Chuah,female,1,F
10.1109/INFVIS.1997.636782,Stephen G. Eick,male,2,L
10.1109/INFVIS.1997.636784,Margaret-Anne D. Storey,female,1,F
10.1109/INFVIS.1997.636784,Kenny Wong,male,2,M
10.1109/INFVIS.1997.636784,F. David Fracchia,male,3,M
10.1109/INFVIS.1997.636784,Hausi A. Müller,male,4,L
10.1109/INFVIS.1997.636785,Steven P. Reiss,male,1,F
10.1109/INFVIS.1997.636786,Alan Keahey,male,1,F
10.1109/INFVIS.1997.636786,Edward L. Robertson,male,2,L
10.1109/INFVIS.1997.636787,Tichomir Tenev,male,1,F
10.1109/INFVIS.1997.636787,Ramana Rao,male,2,L
10.1109/INFVIS.1997.636788,Mark Derthick,male,1,F
10.1109/INFVIS.1997.636788,Steven F. Roth,male,2,M
10.1109/INFVIS.1997.636788,John Kolojejchick,male,3,L
10.1109/INFVIS.1997.636789,Dominique Brodbeck,male,1,F
10.1109/INFVIS.1997.636789,Matthew Chalmers,male,2,M
10.1109/INFVIS.1997.636789,Aran Lunzer,male,3,M
10.1109/INFVIS.1997.636789,Pamela Cotture,female,4,L
10.1109/INFVIS.1997.636790,Egemen Tanin,male,1,F
10.1109/INFVIS.1997.636790,Richard Beigel,male,2,M
10.1109/INFVIS.1997.636790,Ben Shneiderman,male,3,L
10.1109/INFVIS.1997.636791,Barry G. Becker,male,1,F
10.1109/INFVIS.1997.636792,Stuart K. Card,male,1,F
10.1109/INFVIS.1997.636792,Jock D. Mackinlay,male,2,L
10.1109/INFVIS.1997.636793,Alfred Inselberg,male,1,F
10.1109/INFVIS.1997.636794,Richard Brath,male,1,F
10.1109/INFVIS.1998.729553,Emmanuel Frécon,male,1,F
10.1109/INFVIS.1998.729553,Gareth Smith,male,2,L
10.1109/INFVIS.1998.729554,Jeffrey L. Korn,male,1,F
10.1109/INFVIS.1998.729554,Andrew W. Appel,male,2,L
10.1109/INFVIS.1998.729555,Chang-Sung Jeong,male,1,F
10.1109/INFVIS.1998.729555,Alex T. Pang,male,2,L
10.1109/INFVIS.1998.729556,Graham J. Wills,male,1,F
10.1109/INFVIS.1998.729557,Mei C. Chuah,female,1,F
10.1109/INFVIS.1998.729558,Alan Keahey,male,1,F
10.1109/INFVIS.1998.729559,Mihael Ankerst,male,1,F
10.1109/INFVIS.1998.729559,Stefan Berchtold,male,2,M
10.1109/INFVIS.1998.729559,Daniel A. Keim,male,3,L
10.1109/INFVIS.1998.729560,Ed H. Chi,male,1,F
10.1109/INFVIS.1998.729560,John Riedl,male,2,L
10.1109/INFVIS.1998.729561,Yoram Moses,male,1,F
10.1109/INFVIS.1998.729561,Zvi Polunsky,male,2,M
10.1109/INFVIS.1998.729561,Ayellet Tal,female,3,M
10.1109/INFVIS.1998.729561,Leonid Ulitsky,male,4,L
10.1109/INFVIS.1998.729562,Thomas C. Sprenger,male,1,F
10.1109/INFVIS.1998.729562,Markus H. Gross,male,2,M
10.1109/INFVIS.1998.729562,Daniel Bielser,male,3,M
10.1109/INFVIS.1998.729562,T. Strasser,male,4,L
10.1109/INFVIS.1998.729563,Alan M. MacEachren,male,1,F
10.1109/INFVIS.1998.729563,Francis P. Boscoe,male,2,M
10.1109/INFVIS.1998.729563,Daniel Haug,male,3,M
10.1109/INFVIS.1998.729563,Linda Pickle,female,4,L
10.1109/INFVIS.1998.729564,Stephan M. Kerpedjiev,male,1,F
10.1109/INFVIS.1998.729564,Giuseppe Carenini,male,2,M
10.1109/INFVIS.1998.729564,Nancy L. Green,female,3,M
10.1109/INFVIS.1998.729564,Johanna D. Moore,female,4,M
10.1109/INFVIS.1998.729564,Steven F. Roth,male,5,L
10.1109/INFVIS.1998.729565,Barry G. Becker,male,1,F
10.1109/INFVIS.1998.729566,Marc D. Hansen,male,1,F
10.1109/INFVIS.1998.729566,Doanna Meads,female,2,M
10.1109/INFVIS.1998.729566,Alex T. Pang,male,3,L
10.1109/INFVIS.1998.729567,Toshiyuki Masui,male,1,F
10.1109/INFVIS.1998.729568,Randall M. Rohrer,male,1,F
10.1109/INFVIS.1998.729568,John L. Sibert,male,2,M
10.1109/INFVIS.1998.729568,David S. Ebert,male,3,L
10.1109/INFVIS.1998.729569,Min Song,female,1,F
10.1109/INFVIS.1998.729570,Elizabeth G. Hetzler,female,1,F
10.1109/INFVIS.1998.729570,Paul Whitney,male,2,M
10.1109/INFVIS.1998.729570,Lou Martucci,female,3,M
10.1109/INFVIS.1998.729570,James J. Thomas,male,4,L
10.1109/INFVIS.1999.801851,Jarke J. van Wijk,male,1,F
10.1109/INFVIS.1999.801851,Edward R. van Selow,male,2,L
10.1109/INFVIS.1999.801852,Chris Stolte,male,1,F
10.1109/INFVIS.1999.801852,Robert Bosch,male,2,M
10.1109/INFVIS.1999.801852,Pat Hanrahan,male,3,M
10.1109/INFVIS.1999.801852,Mendel Rosenblum,male,4,L
10.1109/INFVIS.1999.801853,Ed H. Chi,male,1,F
10.1109/INFVIS.1999.801853,Stuart K. Card,male,2,L
10.1109/INFVIS.1999.801854,Benjamin B. Bederson,male,1,F
10.1109/INFVIS.1999.801854,Angela Boltman,female,2,L
10.1109/INFVIS.1999.801855,Kerry Rodden,female,1,F
10.1109/INFVIS.1999.801855,Wojciech Basalaj,male,2,M
10.1109/INFVIS.1999.801855,David Sinclair,male,3,M
10.1109/INFVIS.1999.801855,Kenneth R. Wood,male,4,L
10.1109/INFVIS.1999.801856,Octavio Juarez Espinosa,male,1,F
10.1109/INFVIS.1999.801856,Chris Hendrickson,male,2,M
10.1109/INFVIS.1999.801856,James H. Garrett Jr.,male,3,L
10.1109/INFVIS.1999.801857,Staffan Björk,male,1,F
10.1109/INFVIS.1999.801857,Lars Erik Holmquist,male,2,M
10.1109/INFVIS.1999.801857,Johan Redström,male,3,L
10.1109/INFVIS.1999.801858,Ying-Huey Fua,female,1,F
10.1109/INFVIS.1999.801858,Matthew O. Ward,male,2,M
10.1109/INFVIS.1999.801858,Elke A. Rundensteiner,female,3,L
10.1109/INFVIS.1999.801859,Richard M. Wilson 0002,male,1,F
10.1109/INFVIS.1999.801859,R. Daniel Bergeron,male,2,L
10.1109/INFVIS.1999.801860,Jarke J. van Wijk,male,1,F
10.1109/INFVIS.1999.801860,Huub van de Wetering,male,2,L
10.1109/INFVIS.1999.801861,Hidekazu Shiozawa,male,1,F
