,DOI,AuthorName-Deduped,PositionNumber,PositionCode,OriginalAffiliation,CleanedAffiliation,Country
77,10.1109/INFVIS.1996.559218,Peter Wolf,3,L,"Institute for Information Processing and Computer Supported New Media, Graz University of Technology, Graz, Austria",,
78,10.1109/INFVIS.1996.559219,Sougata Mukherjea,1,F,"C&C Research Laboratories, NEC USA, Inc., USA","C&C Research Laboratory, NEC USA Inc., USA",USA
79,10.1109/INFVIS.1996.559219,Kyoji Hirata,2,M,"C&C Research Laboratories, NEC USA, Inc., USA",,
80,10.1109/INFVIS.1996.559219,Yoshinori Hara,3,L,"C&C Research Laboratories, NEC USA, Inc., USA",,
81,10.1109/INFVIS.1996.559220,David S. Ebert,1,F,"CSEE Department, University of Maryland Baltimore County, Baltimore, MD, USA","University of Maryland, Baltimore County, USA",USA
82,10.1109/INFVIS.1996.559220,Chris Shaw 0002,2,M,"Department of Computer Science, University of Regina, Canada",,
83,10.1109/INFVIS.1996.559220,Amen Zwa,3,M,"CSEE Department, University of Maryland Baltimore County, Baltimore, MD, USA",,
84,10.1109/INFVIS.1996.559220,Ethan L. Miller,4,M,"CSEE Department, University of Maryland Baltimore County, Baltimore, MD, USA",,
85,10.1109/INFVIS.1996.559220,D. Aaron Roberts,5,L,"NASA Goddard Space Flight Center, Greenbelt, MD, USA",,
86,10.1109/INFVIS.1996.559221,Kenneth C. Cox,1,F,"Lucent Technologies, Bell Laboratories, Naperville, IL, USA","Bell Labs, USA",USA
87,10.1109/INFVIS.1996.559221,Dianne Hackborn,2,L,"Oregon State University, Corvallis, OR, USA",,
