Paper DOI,Author Names
10.1109/tvcg.2018.2830759,Paolo Federico 0001
10.1109/tvcg.2018.2830759,Günther Schreder
10.1109/tvcg.2018.2830759,Katrin Glinka
10.1109/tvcg.2018.2830759,Marian Dörk
10.1109/tvcg.2018.2830759,Silvia Miksch
10.1109/tvcg.2018.2830759,Eva Mayr
10.1109/mcg.2014.82,Jonathan C. Roberts
10.1109/mcg.2014.82,Panagiotis D. Ritsos
10.1109/mcg.2014.82,Sriram Karthik Badam
10.1109/mcg.2014.82,Dominique Brodbeck
10.1109/mcg.2014.82,Jessie Kennedy
10.1109/mcg.2014.82,Niklas Elmqvist
10.1109/mcg.2015.51,Eun Kyoung Choe
10.1109/mcg.2015.51,Bongshin Lee
10.1109/mcg.2015.51,m. c. schraefel
10.1109/tvcg.2013.240,Marta Kersten-Oertel
10.1109/tvcg.2013.240,Sean Jy-Shyang Chen
10.1109/tvcg.2013.240,D. Louis Collins
10.1109/tvcg.2015.2509990,Shixia Liu
10.1109/tvcg.2015.2509990,Jialun Yin
10.1109/tvcg.2015.2509990,Xiting Wang
10.1109/tvcg.2015.2509990,Weiwei Cui
10.1109/tvcg.2015.2509990,Kelei Cao
10.1109/tvcg.2015.2509990,Jian Pei
10.1109/tvcg.2010.260,Carlos D. Correa
10.1109/tvcg.2010.260,Tarik Crnovrsanin
10.1109/tvcg.2010.260,Kwan-Liu Ma
10.1109/tvcg.2012.324,Carsten Görg
10.1109/tvcg.2012.324,Zhicheng Liu 0001
10.1109/tvcg.2012.324,Jaeyeon Kihm
10.1109/tvcg.2012.324,Jaegul Choo
10.1109/tvcg.2012.324,Haesun Park
10.1109/tvcg.2012.324,John T. Stasko
10.1109/tvcg.2018.2816059,Matthew Berger
10.1109/tvcg.2018.2816059,Jixian Li
10.1109/tvcg.2018.2816059,Joshua A. Levine
10.1109/tvcg.2018.2834341,Shixia Liu
10.1109/tvcg.2018.2834341,Xiting Wang
10.1109/tvcg.2018.2834341,Christopher Collins 0001
10.1109/tvcg.2018.2834341,Wenwen Dou
10.1109/tvcg.2018.2834341,Fang-Xin Ou-Yang
10.1109/tvcg.2018.2834341,Mennatallah El-Assady
10.1109/tvcg.2018.2834341,Liu Jiang
10.1109/tvcg.2018.2834341,Daniel A. Keim
10.1109/tvcg.2013.242,Erick Gomez Nieto
10.1109/tvcg.2013.242,Frizzi San Roman
10.1109/tvcg.2013.242,Paulo A. Pagliosa
10.1109/tvcg.2013.242,Wallace Casaca
10.1109/tvcg.2013.242,Elias S. Helou
10.1109/tvcg.2013.242,Maria Cristina Ferreira de Oliveira
10.1109/tvcg.2013.242,Luis Gustavo Nonato
10.1109/tvcg.2012.150,Tony McLoughlin
10.1109/tvcg.2012.150,Mark W. Jones
10.1109/tvcg.2012.150,Robert S. Laramee
10.1109/tvcg.2012.150,Rami Malki
10.1109/tvcg.2012.150,Ian Masters
10.1109/tvcg.2012.150,Charles D. Hansen
10.1109/tvcg.2010.259,David Camp
10.1109/tvcg.2010.259,Christoph Garth
10.1109/tvcg.2010.259,Hank Childs
10.1109/tvcg.2010.259,David Pugmire
10.1109/tvcg.2010.259,Kenneth I. Joy
10.1109/tvcg.2011.284,Nithin Shivashankar
10.1109/tvcg.2011.284,Senthilnathan Maadasamy
10.1109/tvcg.2011.284,Vijay Natarajan
10.1109/tvcg.2011.280,Roger Bramon
10.1109/tvcg.2011.280,Imma Boada
10.1109/tvcg.2011.280,Anton Bardera
10.1109/tvcg.2011.280,Joaquim Rodriguez
10.1109/tvcg.2011.280,Miquel Feixas
10.1109/tvcg.2011.280,Josep Puig
10.1109/tvcg.2011.280,Mateu Sbert
10.1109/mcg.2014.62,Eser Kandogan
10.1109/mcg.2014.62,Aruna Balakrishnan
10.1109/mcg.2014.62,Eben M. Haber
10.1109/mcg.2014.62,Jeffrey S. Pierce
10.1109/tvcg.2011.155,Hongfeng Yu 0001
10.1109/tvcg.2011.155,Chaoli Wang 0001
10.1109/tvcg.2011.155,Ching-Kuang Shene
10.1109/tvcg.2011.155,Jacqueline H. Chen
10.1109/tvcg.2018.2859973,Michael Behrisch 0001
10.1109/tvcg.2018.2859973,Dirk Streeb
10.1109/tvcg.2018.2859973,Florian Stoffel
10.1109/tvcg.2018.2859973,Daniel Seebacher
10.1109/tvcg.2018.2859973,Brian Matejek
10.1109/tvcg.2018.2859973,Stefan Hagen Weber
10.1109/tvcg.2018.2859973,Sebastian Mittelstädt
10.1109/tvcg.2018.2859973,Hanspeter Pfister
10.1109/tvcg.2018.2859973,Daniel A. Keim
10.1109/mcg.2014.80,Charilaos Papadopoulos
10.1109/mcg.2014.80,Kaloian Petkov
10.1109/mcg.2014.80,Arie E. Kaufman
10.1109/mcg.2014.80,Klaus Mueller 0001
10.1109/tvcg.2014.2322594,Marcel Hlawatsch
10.1109/tvcg.2014.2322594,Michael Burch
10.1109/tvcg.2014.2322594,Daniel Weiskopf
10.1109/tvcg.2018.2790961,Vahan Yoghourdjian
10.1109/tvcg.2018.2790961,Tim Dwyer
10.1109/tvcg.2018.2790961,Karsten Klein 0001
10.1109/tvcg.2018.2790961,Kim Marriott
10.1109/tvcg.2018.2790961,Michael Wybrow
10.1109/tvcg.2017.2671341,Fabio Miranda 0001
10.1109/tvcg.2017.2671341,Lauro Didier Lins
10.1109/tvcg.2017.2671341,James T. Klosowski
10.1109/tvcg.2017.2671341,Cláudio T. Silva
10.1109/tvcg.2012.315,Sungkil Lee 0002
10.1109/tvcg.2012.315,Mike Sips
10.1109/tvcg.2012.315,Hans-Peter Seidel
10.1109/tvcg.2012.142,Sebastian Eichelbaum
10.1109/tvcg.2012.142,Mario Hlawitschka
10.1109/tvcg.2012.142,Gerik Scheuermann
10.1109/mcg.2014.61,Yafeng Lu
10.1109/mcg.2014.61,Feng Wang 0012
10.1109/mcg.2014.61,Ross Maciejewski
10.1109/mcg.2016.38,Barrett Ens
10.1109/mcg.2016.38,Pourang Irani
10.1109/mcg.2014.104,Rahul C. Basole
10.1109/tvcg.2011.269,Jan Reininghaus
10.1109/tvcg.2011.269,Jens Kasten
10.1109/tvcg.2011.269,Tino Weinkauf
10.1109/tvcg.2011.269,Ingrid Hotz
10.1109/tvcg.2018.2796591,Erick Cuenca
10.1109/tvcg.2018.2796591,Arnaud Sallaberry
10.1109/tvcg.2018.2796591,Florence Ying Wang
10.1109/tvcg.2018.2796591,Pascal Poncelet
10.1109/mcg.2015.97,Fangfang Zhou
10.1109/mcg.2015.97,Wei Huang 0025
