"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"","https://ieeexplore.ieee.org/document/963292/","LOCKED","963292","SAS Institute, Inc., USA","SAS Institute, Inc., USA","https://ieeexplore.ieee.org/author/37733138800","1","T. Barlow","37733138800","SAS Institute, Inc., USA","SAS Institute, Inc., USA","https://ieeexplore.ieee.org/author/37726433800","2","P. Neville","37726433800","","","","","","","","","","","","","","","","","","","","","","","","","10","1","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963292","368","152","https://ieeexplore.ieee.org/document/963292/","Computer aided software engineering","Data visualization","Decision trees","Data analysis","Data mining","Predictive models","Synthetic aperture sonar","Read only memory","Industrial relations","Topology","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963292","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","11","149","Case study: visualization for decision tree analysis in data mining"
"","https://ieeexplore.ieee.org/document/963294/","LOCKED","963294","Department of Geography, Arizona State University, USA","Department of Geography, Arizona State University, USA","https://ieeexplore.ieee.org/author/37563679500","1","R.M. Edsall","37563679500","Department of Geography, Pennsylvania State University, USA","Department of Geography, Pennsylvania State University, USA","https://ieeexplore.ieee.org/author/37374699000","2","A.M. MacEachren","37374699000","National Cancer Institute, USA","National Cancer Institute, USA","https://ieeexplore.ieee.org/author/37374700700","3","L. Pickle","37374700700","","","","","","","","","","","","","","","","","","","9","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963294","125","162","https://ieeexplore.ieee.org/document/963294/","Computer aided software engineering","Geographic Information Systems","Statistics","Data visualization","Statistical analysis","Scattering","Cancer","Information systems","Postal services","Demography","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963294","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","12","159","Case study: design and assessment of an enhanced geographic information system for exploration of multivariate health statistics"
"","https://ieeexplore.ieee.org/document/963293/","LOCKED","963293","Blue Martini Software, USA","Blue Martini Software, USA","https://ieeexplore.ieee.org/author/37087453830","1","J. Brainerd","37087453830","Blue Martini Software, USA","Blue Martini Software, USA","https://ieeexplore.ieee.org/author/37087454700","2","B. Becker","37087454700","","","","","","","","","","","","","","","","","","","","","","","","","9","5","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963293","241","156","https://ieeexplore.ieee.org/document/963293/","Computer aided software engineering","Visualization","Navigation","Demography","History","Internet","Companies","Mortar","Eyes","Filters","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963293","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","13","153","Case study: e-commerce clickstream visualization"
"","https://ieeexplore.ieee.org/document/963282/","LOCKED","963282","Information Visualization Research, AT&T Labs-Research, USA","Information Visualization Research, AT&T Labs-Research, USA","https://ieeexplore.ieee.org/author/37662339600","1","J. Abello","37662339600","Computer Science Department, University of Rome La Sapienza","Computer Science Department, University of Rome La Sapienza","https://ieeexplore.ieee.org/author/37283676000","2","I. Finocchi","37283676000","Information Visualization Research, AT&T Labs-Research, USA","Information Visualization Research, AT&T Labs-Research, USA","https://ieeexplore.ieee.org/author/38179814200","3","J. Korn","38179814200","","","","","","","","","","","","","","","","","","","9","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963282","136","70","https://ieeexplore.ieee.org/document/963282/","Navigation","Data visualization","Large screen displays","Laboratories","Computer science","Computer displays","Filters","Geographic Information Systems","Telecommunication traffic","Internet","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963282","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","14","67","Graph sketches"
"","https://ieeexplore.ieee.org/document/963277/","LOCKED","963277","College of Computing GVU Center, Georgia Institute of Technology, Atlanta, GA, USA","College of Computing GVU Center, Georgia Institute of Technology, Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37550755100","1","J. Eagan","37550755100","College of Computing GVU Center, Georgia Institute of Technology, Atlanta, GA, USA","College of Computing GVU Center, Georgia Institute of Technology, Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37269174100","2","M.J. Harrold","37269174100","College of Computing GVU Center, Georgia Institute of Technology, Atlanta, GA, USA","College of Computing GVU Center, Georgia Institute of Technology, Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37277753800","3","J.A. Jones","37277753800","College of Computing GVU Center, Georgia Institute of Technology, Atlanta, GA, USA","College of Computing GVU Center, Georgia Institute of Technology, Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37267736900","4","J. Stasko","37267736900","","","","","","","","","","","","","8","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963277","129","36","https://ieeexplore.ieee.org/document/963277/","Encoding","Software testing","System testing","Debugging","Software maintenance","Software systems","Software quality","Programming profession","Educational institutions","User interfaces","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963277","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","15","33","Technical note: visually encoding program test information to find faults in software"
"","https://ieeexplore.ieee.org/document/963278/","LOCKED","963278","Visual Insights, Inc., USA","Visual Insights, Inc., USA","https://ieeexplore.ieee.org/author/37349418300","1","T.A. Keahey","37349418300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963278","131","40","https://ieeexplore.ieee.org/document/963278/","Focusing","Navigation","Data visualization","History","Pipelines","Area measurement","Nonlinear distortion","Filtering","Lenses","Probes","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963278","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","16","37","Getting along: composition of visualization paradigms"
"","https://ieeexplore.ieee.org/document/963295/","LOCKED","963295","Graduate School of Architecture, University of Utah, USA","Graduate School of Architecture, University of Utah, USA","https://ieeexplore.ieee.org/author/37442679500","1","J. Agutter","37442679500","Department of BioEngineering, University of Utah, USA","Department of BioEngineering, University of Utah, USA","https://ieeexplore.ieee.org/author/37725245800","2","N. Syroid","37725245800","Department of Psychology, University of Utah, USA","Department of Psychology, University of Utah, USA","https://ieeexplore.ieee.org/author/37089547521","3","F. Drews","37089547521","Department of BioEngineering, University of Utah, USA","Department of BioEngineering, University of Utah, USA","https://ieeexplore.ieee.org/author/37293901500","4","D. Westenskow","37293901500","Graduate School of Architecture, University of Utah, USA","Graduate School of Architecture, University of Utah, USA","https://ieeexplore.ieee.org/author/37435236500","5","J. Bermudez","37435236500","Department of Psychology, University of Utah, USA","Department of Psychology, University of Utah, USA","https://ieeexplore.ieee.org/author/37726237200","6","D. Strayer","37726237200","3","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963295","106","166","https://ieeexplore.ieee.org/document/963295/","Graphics","Displays","Cardiovascular system","Humans","Anesthesia","Event detection","Medical diagnostic imaging","Error correction","Cardiology","Biomedical monitoring","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963295","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","17","163","Graphic data display for cardiovascular system"
"","https://ieeexplore.ieee.org/document/963280/","LOCKED","963280","Computer Science Department, CAD& Visualization L ab, University of Texas, Dallas, Richardson, TX, USA","Computer Science Department, CAD& Visualization L ab, University of Texas, Dallas, Richardson, TX, USA","https://ieeexplore.ieee.org/author/37284840800","1","J.M. Six","37284840800","Computer Science Department, CAD& Visualization L ab, University of Texas, Dallas, Richardson, TX, USA","Computer Science Department, CAD& Visualization L ab, University of Texas, Dallas, Richardson, TX, USA","https://ieeexplore.ieee.org/author/37356017600","2","I.G. Tollis","37356017600","","","","","","","","","","","","","","","","","","","","","","","","","2","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963280","268","58","https://ieeexplore.ieee.org/document/963280/","Visualization","Measurement standards","Application software","Polynomials","Tree graphs","","","","","","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963280","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","18","51","Effective graph visualization via node grouping"
"","https://ieeexplore.ieee.org/document/963296/","LOCKED","963296","Sarnoff Corporation","Sarnoff Corporation","https://ieeexplore.ieee.org/author/37087381163","1","J.L. Posdamer","37087381163","National Imagery and Mapping Agency","National Imagery and Mapping Agency","https://ieeexplore.ieee.org/author/37087381118","2","J. Dantone","37087381118","MITRE Corporation","MITRE Corporation","https://ieeexplore.ieee.org/author/37352200300","3","N. Gershon","37352200300","DARPA","DARPA","https://ieeexplore.ieee.org/author/37087381215","4","J. Dale","37087381215","DARPA","DARPA","https://ieeexplore.ieee.org/author/37087381224","5","T. Hamburger","37087381224","DARPA","DARPA","https://ieeexplore.ieee.org/author/37087381546","6","W. Page","37087381546","0","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963296","134","170","https://ieeexplore.ieee.org/document/963296/","Data visualization","Lifting equipment","Robustness","Logistics","Real time systems","Human computer interaction","Feeds","Stress","Computer science","Decision making","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963296","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","19","169","Battlespace visualization: a grand challenge"
"","https://ieeexplore.ieee.org/document/963272/","LOCKED","963272","Department of Computer Science, University of Stanford, USA","Department of Computer Science, University of Stanford, USA","https://ieeexplore.ieee.org/author/37349803800","1","P. Hanrahan","37349803800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963272","82","3","https://ieeexplore.ieee.org/document/963272/","Tree graphs","Computer graphics","Computer science","Rendering (computer graphics)","Data visualization","Engineering drawings","Humans","Tree data structures","USA Councils","Image generation","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963272","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","20","3","To draw a tree"
"","https://ieeexplore.ieee.org/document/963274/","LOCKED","963274","Pacific Northwest National Laboratory, Richland, WA, USA","Pacific Northwest National Laboratory, Richland, WA, USA","https://ieeexplore.ieee.org/author/37725426400","1","L. Nowell","37725426400","Pacific Northwest National Laboratory, Richland, WA, USA","Pacific Northwest National Laboratory, Richland, WA, USA","https://ieeexplore.ieee.org/author/37266114100","2","E. Hetzler","37266114100","Pacific Northwest National Laboratory, Richland, WA, USA","Pacific Northwest National Laboratory, Richland, WA, USA","https://ieeexplore.ieee.org/author/37088131029","3","T. Tanasse","37088131029","","","","","","","","","","","","","","","","","","","39","1","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963274","728","22","https://ieeexplore.ieee.org/document/963274/","Blindness","Computer aided software engineering","Layout","Displays","Information analysis","Laboratories","Data visualization","Contracts","Cognitive science","Context","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963274","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","21","15","Change blindness in information visualization: a case study"
"","https://ieeexplore.ieee.org/document/963287/","LOCKED","963287","Battelle Pacific Northwest Division, Richland, WA","Battelle Pacific Northwest Division, Richland, WA","https://ieeexplore.ieee.org/author/37282588900","1","S. Havre","37282588900","Battelle Pacific Northwest Division, Richland, WA","Battelle Pacific Northwest Division, Richland, WA","https://ieeexplore.ieee.org/author/37266114100","2","E. Hetzler","37266114100","Battelle Pacific Northwest Division, Richland, WA","Battelle Pacific Northwest Division, Richland, WA","https://ieeexplore.ieee.org/author/37550754400","3","K. Perrine","37550754400","Battelle Pacific Northwest Division, Richland, WA","Battelle Pacific Northwest Division, Richland, WA","https://ieeexplore.ieee.org/author/37725413900","4","E. Jurrus","37725413900","Battelle Memorial Institute, Columbus, OH","Battelle Memorial Institute, Columbus, OH","https://ieeexplore.ieee.org/author/37087835166","5","N. Miller","37087835166","","","","","","","33","10","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963287","389","112","https://ieeexplore.ieee.org/document/963287/","Visualization","","","","","","","","","","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963287","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","22","105","Interactive visualization of multiple query results"
"","https://ieeexplore.ieee.org/document/963275/","LOCKED","963275","Sandia National Laboratories, USA","Sandia National Laboratories, USA","https://ieeexplore.ieee.org/author/38305742300","1","G.S. Davidson","38305742300","Sandia National Laboratories, USA","Sandia National Laboratories, USA","https://ieeexplore.ieee.org/author/38180014300","2","B.N. Wylie","38180014300","Sandia National Laboratories, USA","Sandia National Laboratories, USA","https://ieeexplore.ieee.org/author/38476719700","3","K.W. Boyack","38476719700","","","","","","","","","","","","","","","","","","","17","0","22-23 Oct. 2001","San Diego, Ca, USA","Conferences","10.1109/INFVIS.2001.963275","196","30","https://ieeexplore.ieee.org/document/963275/","Testing","Laboratories","Clustering algorithms","Databases","Data visualization","Algorithm design and analysis","Stability analysis","Fungi","Best practices","Stochastic processes","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963275","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","23","23","Cluster stability and the use of noise in interpretation of clustering"
"","https://ieeexplore.ieee.org/document/963284/","LOCKED","963284","Department of Computer Science, Dresden University of Technology, Germany","Department of Computer Science, Dresden University of Technology, Germany","https://ieeexplore.ieee.org/author/37313321900","1","R. Dachselt","37313321900","Department of Computer Science, Dresden University of Technology, Germany","Department of Computer Science, Dresden University of Technology, Germany","https://ieeexplore.ieee.org/author/37087834164","2","J. Ebert","37087834164","","","","","","","","","","","","","","","","","","","","","","","","","10","5","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963284","246","86","https://ieeexplore.ieee.org/document/963284/","Navigation","Web pages","Tree graphs","Internet","Space technology","Web sites","Data visualization","Birth disorders","XML","Books","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963284","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","24","79","Collapsible cylindrical trees: a fast hierarchical navigation technique"
"The author index contains an entry for each author and coauthor included in the proceedings record.","","EPHEMERA","963297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963297","41","171","https://ieeexplore.ieee.org/document/963297/","","","","","","","","","","","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963297","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","25","171","Author index"
"Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","","EPHEMERA","963271","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963271","140","vii","https://ieeexplore.ieee.org/document/963271/","","","","","","","","","","","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963271","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","26","1","IEEE Symposium on Information Visualization 2001 [front matter]"
