Paper DOI,Author Names,PositionNumber,PositionCode,Affiliation,Country
10.1109/tvcg.2023.3326512,Cindy Xiong Bearfield,2,L,"Georgia Tech, Georgia",
10.1109/tvcg.2022.3209460,Andrew M. McNutt,1,F,,
10.1109/tvcg.2021.3114862,Arpit Narechania,2,M,"Georgia Tech, US",
10.1109/tvcg.2021.3114862,Adam Coscia,3,M,"Georgia Tech, US",
10.1109/tvcg.2021.3114862,Jamal Paden,4,M,"Georgia Tech, US",
10.1109/tvcg.2021.3114862,Alex Endert,5,L,"Georgia Tech, US",
10.1109/tvcg.2021.3114813,John T. Stasko,2,L,"Georgia Tech, US",
10.1109/tvcg.2020.3030443,Shenyu Xu,2,M,Georgia Tech.,
10.1109/tvcg.2020.3030443,Subhajit Das 0002,3,M,Georgia Tech.,
10.1109/tvcg.2020.3030443,Alex Endert,8,M,Georgia Tech.,
10.1109/tvcg.2020.3030418,Zijie J. Wang,1,F,Georgia Tech.,
10.1109/tvcg.2020.3030418,Robert Turko,2,M,Georgia Tech.,
10.1109/tvcg.2020.3030418,Omar Shaikh,3,M,Georgia Tech.,
10.1109/tvcg.2020.3030418,Haekyu Park,4,M,Georgia Tech.,
10.1109/tvcg.2020.3030418,Nilaksh Das,5,M,Georgia Tech.,
10.1109/tvcg.2020.3030418,Fred Hohman,6,M,Georgia Tech.,
10.1109/tvcg.2020.3030418,Duen Horng (Polo) Chau,8,L,Georgia Tech.,
10.1109/tvcg.2019.2934659,Fred Hohman,1,F,Georgia Tech.,
10.1109/tvcg.2019.2934659,Haekyu Park,2,M,Georgia Tech.,
10.1109/tvcg.2019.2934659,Caleb Robinson,3,M,Georgia Tech.,
10.1109/tvcg.2019.2934659,Duen Horng (Polo) Chau,4,L,Georgia Tech.,
10.1109/tvcg.2019.2934534,Bahador Saket,1,F,Georgia Tech,
10.1109/tvcg.2019.2934534,Alex Endert,4,L,Georgia Tech,
10.1109/tvcg.2019.2934260,Andrew J. Solis,5,M,,
10.1109/tvcg.2017.2744898,Robert S. Pienta,1,F,,
10.1109/tvcg.2017.2744898,Fred Hohman,2,M,,
10.1109/tvcg.2017.2744898,Alex Endert,3,M,,
10.1109/tvcg.2017.2744898,Acar Tamersoy,4,M,,
10.1109/tvcg.2017.2744898,Kevin A. Roundy,5,M,,
10.1109/tvcg.2017.2744898,Christopher S. Gates,6,M,,
