Year,DOI,AuthorNames-Deduped,AuthorAffiliation,Country
1990,10.1109/VISUAL.1990.146385,Yan Ke,"University of Saskatchewan, Canada",Canada
1990,10.1109/VISUAL.1990.146385,E. S. Panduranga,,
1990,10.1109/VISUAL.1990.146386,Jeffrey LeBlanc,"Worcester Polytechnical Institute, USA",USA
1990,10.1109/VISUAL.1990.146386,Matthew O. Ward,"Worcester Polytechnical Institute, USA",USA
1990,10.1109/VISUAL.1990.146386,Norman Wittels,"Worcester Polytechnical Institute, USA",USA
1990,10.1109/VISUAL.1990.146387,Jeff Beddow,"Microsimulations Research, Minneapolis, MN, USA",USA
1990,10.1109/VISUAL.1990.146388,Thomas A. Foley,"Arizona State University, Tempe, AZ, USA",USA
1990,10.1109/VISUAL.1990.146388,David A. Lane,"Arizona State University, Tempe, AZ, USA",USA
1990,10.1109/VISUAL.1990.146389,Ted Mihalisin,"Temple University, Philadelphia, PA, USA",USA
1990,10.1109/VISUAL.1990.146389,E. Grawlinksi,"Temple University, Philadelphia, PA, USA",USA
1990,10.1109/VISUAL.1990.146389,John Timlin,"Temple University, Philadelphia, PA, USA",USA
1990,10.1109/VISUAL.1990.146389,John Schwegler,"Temple University, Philadelphia, PA, USA",USA
1990,10.1109/VISUAL.1990.146390,Ray J. Meyers,"Sandia National Laboratories, USA",USA
1990,10.1109/VISUAL.1990.146390,Michael B. Stephenson,,
1990,10.1109/VISUAL.1990.146391,Wolfgang Krüger,"ART+COM e.V., Berlin, Germany",Germany
1990,10.1109/VISUAL.1990.146392,J. L. Pajon,"Institute Francais due Petrole, Rueil Malmaison, France",France
1990,10.1109/VISUAL.1990.146392,V. Bui Tran,"Institute Francais due Petrole, Rueil Malmaison, France",France
1990,10.1109/VISUAL.1990.146393,David P. Dobkin,"Princeton University, USA",USA
1990,10.1109/VISUAL.1990.146393,E. S. Panduranga,,
1990,10.1109/VISUAL.1990.146393,M. Zhu,,
1990,10.1109/VISUAL.1990.146394,Philip C. Hsu,"University of Florida, USA",USA
1990,10.1109/VISUAL.1990.146394,John Staudhammer,"University of Florida, USA",USA
1990,10.1109/VISUAL.1990.146395,Debra Dooley,"University of Utah,USA",USA
1990,10.1109/VISUAL.1990.146395,Michael F. Cohen,"University of Utah,USA",USA
1990,10.1109/VISUAL.1990.146396,Keith Voegele,"Arizona State University, Tempe, AZ, USA",USA
1990,10.1109/VISUAL.1990.146397,Donald L. Brittain,"Wavefront Technology Inc., Santa Barbara, CA, USA",USA
1990,10.1109/VISUAL.1990.146397,Josh Aller,"Wavefront Technology Inc., Santa Barbara, CA, USA",USA
1990,10.1109/VISUAL.1990.146397,Michael Wilson,"Wavefront Technology Inc., Santa Barbara, CA, USA",USA
1990,10.1109/VISUAL.1990.146397,Sue-Ling C. Wang,"Wavefront Technology Inc., Santa Barbara, CA, USA",USA
1990,10.1109/VISUAL.1990.146398,Elizabeth M. Wenzel,"NASA, USA",USA
1990,10.1109/VISUAL.1990.146398,Scott S. Fisher,"NASA, USA",USA
1990,10.1109/VISUAL.1990.146398,Philip K. Stone,,
1990,10.1109/VISUAL.1990.146398,Scott H. Foster,,
1990,10.1109/VISUAL.1990.146399,Richard L. Phillips,"Los Alamos National Laboratory, USA",USA
1990,10.1109/VISUAL.1990.146400,Michael J. Laszlo,"University of Illinois, Chicago, USA",USA
1990,10.1109/VISUAL.1990.146401,Alyn P. Rockwood,"Silicon Graphics Computer Syst., Mountain View, CA, USA",USA
1990,10.1109/VISUAL.1990.146402,Alfred Inselberg,"IBM Research, USA",USA
